seq,成分,price,source
HX3000,100%P,1.704,广泰 63085506
HX3094-1,P+SP,2.084,广泰 63085506
HX2537-3,100%P,2.289,广泰 63085506
HX259-2,100%P,1.611,广泰 63085506
HX2858,100%P,1.689,广泰 63085506
HX2182,P+SP,2.037,广泰 63085506
HX2139,100%P,2.116,广泰 63085506
HX008Y,100%P,1.263,广泰 63085506
HX3309,100%P,1.642,广泰 63085506
HX3062-2,100%P,1.989,广泰 63085506
HX3047,P+SP,1.405,广泰 63085506
HX1987,P+SP,1.626,广泰 63085506
HX2179,100%P,2.432,广泰 63085506
HX1815,100%P,1.721,广泰 63085506
HX2149-1,100%P,1.374,广泰 63085506
H19,47%N+43%T+10%SP,2.226,绍兴宏友
H1,47%N+43%T+10%SP,2.226,绍兴宏友
H6,47%N+43%T+10%SP,2.226,绍兴宏友
H531,88%N+12%SP,2.226,绍兴宏友
H536,88%N+12%SP,2.226,绍兴宏友
H13,47%N+43%T+10%SP,2.226,绍兴宏友
H10,20%N+75%P+5%SP,2.226,绍兴宏友
H5,47%N+43%T+10%SP,2.226,绍兴宏友
H4,10%N+78%P+12%SP,2.226,绍兴宏友
H17,47%N+43%T+10%SP,2.226,绍兴宏友
H16002,24%人丝50%粘纤21%天丝5%亚麻,5.842,绍兴铭丰
H16023-77,70%天丝30%亚麻,5.684,绍兴铭丰
H16039-15,56%铜氨34%天丝10%亚麻,7.958,绍兴铭丰
H13161F-28,58%铜氨42%人棉,8.305,绍兴铭丰
H13161F-14,58%铜氨42%人棉,8.305,绍兴铭丰
H13161F-22,58%铜氨42%人棉,8.305,绍兴铭丰
H13161F-3,58%铜氨42%人棉,8.305,绍兴铭丰
H13161F-21,58%铜氨42%人棉,8.305,绍兴铭丰
H16025,51%人丝+49%粘纤,4.611,绍兴铭丰
HB217,100%铜氨,7.958,绍兴铭丰
H16025黄底白点,51%人丝+49%粘纤,4.611,绍兴铭丰
H16025红底白点,51%人丝+49%粘纤,4.611,绍兴铭丰
H16025白底黑点,51%人丝+49%粘纤,4.611,绍兴铭丰
H16025黑白条,51%人丝+49%粘纤,4.611,绍兴铭丰
H16068米白,65%Ha 22%Tel 13%Ram,9.0,绍兴铭丰
H16068咖啡,65%Ha 22%Tel 13%Ram,9.0,绍兴铭丰
H16068鹅黄,65%Ha 22%Tel 13%Ram,9.0,绍兴铭丰
H16063本白,70%Ha 30%T,8.684,绍兴铭丰
H16063米色,70%Ha 30%T,8.684,绍兴铭丰
H16063黑色,70%Ha 30%T,8.684,绍兴铭丰
HYC-2124,63%人丝37%人棉,7.958,晏楚 13735347735
HYC-1893,100%P,3.189,晏楚 13735347735
HYC-2357,100%P,3.379,晏楚 13735347735
HYC-039,100%P,3.111,晏楚 13735347735
HYC-1153/B,100%P,3.111,晏楚 13735347735
HYC-2080,100%P,3.111,晏楚 13735347735
HYC-276,80%粘纤20%棉纶,3.095,晏楚 13735347735
HYC-1661,100%P,2.542,晏楚 13735347735
H8020,96%T+4%SF,1.689,鑫宏布业 
H1906,96%T+4%SP,1.689,鑫宏布业 
H1212#,96%T+4%SP,1.516,鑫宏布业 
HXH045,96%T+4%SP,2.226,鑫宏布业 
HXH030,96%T+4%SP,1.958,鑫宏布业 
HXH008,96%T+4%SP,2.668,鑫宏布业 
HXH043,96%T+4%SP,2.226,鑫宏布业 
HXH046,96%T+4%SP,2.226,鑫宏布业 
HXH041,96%T+4%SP,2.226,鑫宏布业 
HDY777R-18,棉65%聚酯纤维35%,7.074,登亿科技 18857500777
HDY999-666-5,棉65%锦纶31%氨纶4%,6.363,登亿科技 18857500777
HDY888-5,涤55%再生纤维45%,5.495,登亿科技 18857500777
H333 印花B-6,棉63%涤37%,5.495,登亿科技 18857500777
HDY333-20,棉63%涤37%,6.189,登亿科技 18857500777
HDY333-27,棉63%涤37%,5.447,登亿科技 18857500777
H888 压花双G-22,涤55%再生纤维45%,5.495,登亿科技 18857500777
HSX2301-1,40%粘胶14.8%天丝4.2%绢丝32%锦纶9%氨纶,6.189,谭布匠 18967510562
HSX2301-3,40%粘胶14.8%天丝4.2%绢丝32%锦纶9%氨纶,6.189,谭布匠 18967510562
HSX2103-67,54.4%C+45.6%T,7.074,谭布匠 18967510562
HSX2108-4,62%C+38%T,7.074,谭布匠 18967510562
HSX2319,100P,6.632,谭布匠 18967510562
HSX2329,4SP 61T 25R 10N,6.0,谭布匠 18967510562
HSX2331,4SP 61T 25R 10N   工艺不同价格不同,6.0,谭布匠 18967510562
HSX2231,92%P 8%SP,5.526,谭布匠 18967510562
HSX2218,62IB35P 3SF,6.158,谭布匠 18967510562
HSX2337,40%VF 25%N 2%SP 33%T,6.0,谭布匠 18967510562
HSX2322,34C 59T 7SP,7.737,谭布匠 18967510562
HSX2222,98%T 2%SP,5.684,谭布匠 18967510562
HSX2330,4SP 61T 25R 10N,5.368,谭布匠 18967510562
HSX2232,100P,6.316,谭布匠 18967510562
HSX2209,90T 10SP,5.368,谭布匠 18967510562
H8067,97%T 3%SP,2.668,一万布业
H8069,97%T 3%SP,2.668,一万布业
H8066,100%T,1.879,一万布业
H8053,97%T 3%SP,2.4,一万布业
H8075,97%T 3%SP,2.747,一万布业
H8014,100%T,1.342,一万布业
H8028,97%T 3%SP,1.484,一万布业
H8073,100%T,2.053,一万布业
H8068,97%T 3%SP,2.447,一万布业
H8070,100%T,1.863,一万布业
H8078,97%T 3%SP,1.863,一万布业
H8077,97%T 3%SP,3.0,一万布业
H8076,100%T,1.958,一万布业
H8071,100%T,2.053,一万布业
H8074,97%T 3%SP,2.147,一万布业
H8065,100%T,1.674,一万布业
H8061,100%T,1.5,一万布业
H8028,97%T 3%SP,1.484,一万布业
H8868-水墨,97%P+3%SP,1.421,纤朵纺织
H8868-牡丹,97%P+3%SP,1.421,纤朵纺织
H8868-单枝花,97%P+3%SP,1.421,纤朵纺织
H8868-1,97%P+3%SP,1.516,纤朵纺织
H8868-2,97%P+3%SP,1.516,纤朵纺织
H8868-3,97%P+3%SP,1.516,纤朵纺织
H8868-4,97%P+3%SP,1.516,纤朵纺织
HTR-183,77P 20R 3SP,2.274,正旗隆
H1-77-28-1,100P,1.974,正旗隆
HTR-223-1,83P 15R 2SP,3.016,正旗隆
H10C-163-10,97P 3SP,1.974,正旗隆
H10A-319,100P,1.958,正旗隆
H1-679-1,100P,2.021,正旗隆
H1C-83,16N 27TEL 57P,2.226,正旗隆
H11C-16,100P,1.674,正旗隆
H6B-11,33P 67R,1.974,正旗隆
H6B-122-9,53P 47R,1.421,正旗隆
H10A-237-67,100P,2.653,正旗隆
H6B-122-3,58P 42R,1.326,正旗隆
H6B-186-1,59P 41R,1.626,正旗隆
H10A-57,100P,2.053,正旗隆
H11C-1-1,100P,1.674,正旗隆
H6A-83-7,35P 65R,1.579,正旗隆
H1-261-56,95P 5SP,2.495,正旗隆
HM-25,17P 83MD,1.942,正旗隆
H1-323喷气,93P 7SP,3.679,正旗隆
H1-169-29,100P,1.642,正旗隆
H10B-102,100P,1.863,正旗隆
HTR-255,72P 28R,1.863,正旗隆
H10C-163-51,100P,1.8,正旗隆
H10B-101,100P,2.116,正旗隆
HT800-29-3,100P,2.858,正旗隆
H1-229-2,94P 6SP%,1.989,正旗隆
HTR-16,78P 18R 4SP%,3.158,正旗隆
HTR-7-3,73P 23R 4SP%,3.395,正旗隆
HTR-28-7,63P 33R 4SP%,3.347,正旗隆
HTR-67-10,20S*200+40,2.132,正旗隆
HTR-231,25S+40D*150+40,2.763,正旗隆
HTR81-9,21s*300+40,2.921,正旗隆
HTR-67-7,25S+40D*200+40,2.495,正旗隆
H6B-135,25s/2*32s/2,3.0,正旗隆
HTR-66-2,40S/2+40*2,3.158,正旗隆
HTR-58-3,32+40*32+40+200+40,3.047,正旗隆
HTR-21-7,40S/2+40*2,4.232,正旗隆
H1-859-11,68D+50D*68+50D+40D,1.879,正旗隆
H6B-186-9,15+15*10s,2.337,正旗隆
H1-179喷气,100D+40D*2,3.316,正旗隆
H1-383-6,150D+40D*2,2.4,正旗隆
HTR-19,32S+40*150+40,2.353,正旗隆
H6C-167,15D+15D*30S,1.926,正旗隆
H6B-165,15D+15D*40S,1.989,正旗隆
HH-701,50*50+20,1.626,正旗隆
HH-709,50*50+20,1.737,正旗隆
H1-77-18,100d*80d,2.053,正旗隆
HH-700,50*50+20,1.737,正旗隆
H1-982-1,150+40*2,2.053,正旗隆
H1-386,150+40*2,2.842,正旗隆
HNXZ027,100N,2.116,逆行者
HNXZ030,100N,1.863,逆行者
HNB020-YH,100N,4.768,逆行者
HNC038-YG,100N,0.947,逆行者
HNB003,84N 16SP,2.684,逆行者
HNC032,84N 16SP,3.253,逆行者
HNB004,73N 27SP,4.058,逆行者
HNB006,93N 7SP,2.337,逆行者
HNXZ022-YH,100N,4.042,逆行者
HNXZ015-YH,100N,4.026,逆行者
HNXZ021-YH,100N,4.026,逆行者
HNB035-FH,100N,2.668,逆行者
HNC043-TC,100N,1.705,逆行者
HNC029,84N 16SP,3.347,逆行者
HNXZ031-FG,100N,2.921,逆行者
HNC028,84N 16SP,3.316,逆行者
HNXZ017,100N,1.863,逆行者
H7781,100%T,1.879,云达
H7716,100%T,1.026,云达
H7712,100%T,1.232,云达
H7727,100%T,1.232,云达
H7727,100%T,1.232,云达
H7808,79%T21%R,2.605,云达
H7822,100%T,2.763,云达
H7834,100%T,2.921,云达
H7830,100%T,3.079,云达
H2648,100%N,3.237,云达
H2608,100%N,3.395,云达
H2608,100%N,3.553,云达
H2611,100%N,3.711,云达
H7831,60%T 40%N,3.868,云达
H7803,100%T,4.026,云达
H7803,100%T,4.184,云达
H7716,100%T,4.342,云达
H6615,100%T,0.995,云达
H2611,100%T,0.947,云达
H7811,100%T,1.374,云达
H7821,100%T,1.611,云达
H2648,100%N,1.232,云达
H7829,100%T,1.611,云达
HDD4205-1,100%P,1.058,金多瑞
HHBS200804-1,100%P,1.121,金多瑞
HDR230306-1,100%P,1.879,金多瑞
HJ230304-1,100%P,1.926,金多瑞
HJT230305-1,100%P,2.163,金多瑞
HJDR32602,100%Recycle Nylon,1.532,金多瑞
HJDR0873-X,100%N,4.579,金多瑞
HJDR230228-1,100%Recycle Nylon,2.163,金多瑞
HJDR230228-1,100%Recycle Nylon,1.768,金多瑞
HSC230327,100%N,4.2,金多瑞
HHBS230325,100%Rec N,1.674,金多瑞
HHBS230219,100%Rec N,1.737,金多瑞
HJT230305-1,100%P,1.8,金多瑞
HJDR221209-1,100%N,1.768,金多瑞
HJDR230224,100%Recycle Nylon,1.516,金多瑞
HYK8012-TM,92%N 8%SP,2.795,金多瑞
HHBS102402,100%Recycle Nylon,1.532,金多瑞
HHBS220929,100%Recycle PES,1.421,金多瑞
